"KN294145v1","72888","73183","JH378242","1241936","1242211","68","1169048"
"KN294146v1","18631","18827","JH378183","10340095","10340268","38","10321464"
"KN294146v1","20106","20390","JH378183","10338548","10338828","47","10318442"
"KN294146v1","20543","20752","JH378183","10338212","10338423","43","10317669"
"KN294146v1","51830","52149","JH378183","10313947","10314239","62","10262117"
"KN294146v1","54041","54325","JH378232","1626730","1627023","51","1572689"
"KN294146v1","58882","59142","JH378183","10307349","10307602","37","10248467"
"KN294146v1","59997","60291","JH378292","2202603","2202891","67","2142606"
"KN294146v1","64770","64934","JH378113","4479198","4479354","46","4414428"
"KN294146v1","64965","65068","JH378118","9236935","9237035","24","9171970"
"KN294147v1","17447","17721","JH378181","5257086","5257360","59","5239639"
"KN294147v1","50746","51045","JH378124","6319912","6320210","58","6269166"
"KN294147v1","157332","157614","JH378117","32435479","32435758","33","32278147"
"KN294147v1","201064","201345","JH378248","3288413","3288707","57","3087349"
"KN294147v1","223468","223752","JH378117","32384305","32384591","36","32160837"
"KN294147v1","241480","241783","JH378191","7198847","7199156","66","6957367"
"KN294147v1","555212","555499","JH378117","32045339","32045620","59","31490127"
"KN294147v1","678863","679152","JH378117","31925552","31925836","25","31246689"
"KN294147v1","683895","683998","JH378108","19248879","19248976","25","18564984"
"KN294147v1","716351","716648","JH378132","1866129","1866416","51","1149778"
"KN294147v1","731670","731836","JH378236","1772550","1772718","33","1040880"
"KN294147v1","790566","790789","JH378118","11205143","11205359","53","10414577"
"KN294147v1","809208","809484","JH378160","13835958","13836236","68","13026750"
"KN294147v1","813042","813334","JH378115","32954947","32955234","66","32141905"
"KN294147v1","834175","834473","JH378117","7945280","7945578","38","7111105"
"KN294147v1","862064","862326","JH378251","3400046","3400322","67","2537982"
"KN294147v1","984694","984911","JH378117","8090740","8090937","42","7106046"
"KN294147v1","1013606","1013897","JH378223","1846983","1847267","54","833377"
"KN294147v1","1061534","1061858","JH378117","8164681","8164996","55","7103147"
"KN294147v1","1098477","1098800","JH378173","6926101","6926425","77","5827624"
"KN294147v1","1173063","1173233","JH378117","8286183","8286346","31","7113120"
"KN294147v1","1199175","1199476","JH378109","37168146","37168449","54","35968971"
"KN294147v1","1211412","1211689","JH378381","27195","27479","62","1184217"
"KN294147v1","1220723","1221030","JH378110","22042275","22042581","61","20821552"
"KN294147v1","1233787","1234083","JH378108","32288751","32289049","48","31054964"
"KN294147v1","1280761","1281038","JH378199","4080149","4080424","63","2799388"
"KN294147v1","1288244","1288450","JH378181","7186257","7186462","57","5898013"
"KN294147v1","1292118","1292351","JH378166","1665678","1665891","58","373560"
"KN294147v1","1324193","1324492","JH378105","64766288","64766588","61","63442095"
"KN294147v1","1365056","1365218","JH378117","8454788","8454960","25","7089732"
"KN294147v1","1365521","1365668","JH378106","6647266","6647405","29","5281745"
"KN294147v1","1372749","1373000","JH378111","42011427","42011687","69","40638678"
"KN294147v1","1380333","1380614","JH378117","8472026","8472307","27","7091693"
"KN294147v1","1383647","1383801","JH378117","8477258","8477404","26","7093611"
