"chr1","634221","634512","chr4","169342583","169342876","25","168708362"
"chr1","865236","865532","chr6","118423541","118423833","36","117558305"
"chr1","4183967","4184306","chr1","4861482","4861811","38","677515"
"chr1","4443526","4443823","chr1","5131511","5131806","35","687985"
"chr1","5392085","5392388","chr7","40994538","40994847","41","35602453"
"chr1","5647739","5647870","chr2A","100694978","100695111","20","95047239"
"chr1","7557528","7557824","chr12","30297041","30297335","27","22739513"
"chr1","7591965","7592261","chr21","38218040","38218332","34","30626075"
"chr1","8082698","8082999","chr7","40994538","40994847","33","32911840"
"chr1","9083375","9083676","chr1","9896676","9896979","25","813301"
"chr1","9215407","9215698","chr1","10008483","10008774","30","793076"
"chr1","9409420","9409630","chr20","1614678","1614913","50","7794742"
"chr1","10130752","10131058","chr1","10864172","10864479","30","733420"
"chr1","10242700","10243005","chr3","65210714","65211013","40","54968014"
"chr1","11188178","11188351","chr4","52232148","52232313","28","41043970"
"chr1","11189250","11189377","chr1","11883701","11883833","13","694451"
"chr1","11551632","11551939","chrX","15819246","15819549","39","4267614"
"chr1","11843862","11844157","chr5","165592457","165592754","32","153748595"
"chr1","12115737","12116031","chr1","12799053","12799343","31","683316"
"chr1","12729669","12729954","chr17","53764873","53765164","34","41035204"
"chr1","12858478","12858797","chr4","177476561","177476881","47","164618083"
"chr1","14378550","14378858","chrX","12638543","12638851","33","1740007"
"chr1","14553539","14553835","chr4","169342583","169342876","35","154789044"
"chr1","14609539","14609842","chr1","15858802","15859106","26","1249263"
"chr1","14776049","14776180","chr8","68088778","68088914","23","53312729"
"chr1","14776474","14776636","chr10","37467683","37467844","21","22691209"
"chr1","15397738","15398015","chr13","40460489","40460767","30","25062751"
"chr1","15762994","15763288","chr1","136955639","136955935","33","121192645"
"chr1","18346670","18346969","chr5","350675","350976","30","17995995"
"chr1","18406045","18406336","chr14","90534622","90534913","29","72128577"
"chr1","19113161","19113454","chr1","20319756","20320058","26","1206595"
"chr1","19613484","19613778","chr1","188584640","188584938","44","168971156"
"chr1","19638427","19638743","chr2B","229925098","229925407","42","210286671"
